"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"18","#Friday , we are ready for you<ed><U+00A0><U+00BD><ed><U+00B8><U+008F><ed><U+00A0><U+00BC><ed><U+00BD><U+00B9><ed><U+00A0><U+00BC><ed><U+00BD><U+00BE><ed><U+00A0><U+00BC><ed><U+00BD><U+00B8><ed><U+00A0><U+00BE><ed><U+00B5><U+0083><ed><U+00A0><U+00BC><ed><U+00BD><U+00B7><ed><U+00A0><U+00BE><ed><U+00B5><U+0082>
Delete Commentbrewshot_cafe#castironlofts #bar #drinks #fun #friends… https://t.co/Cs0QF2LdhX",FALSE,5,NA,2017-12-08 21:53:38,TRUE,NA,"939251649230589952",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Brewshot",0,FALSE,FALSE,NA,NA
"19","Pumpkin Soup with bacon jam and honeycrisp apples! #pumpkin #soup #dinner #bacon #baconlover… https://t.co/bIpCMOIDIp",FALSE,0,NA,2017-12-08 21:50:35,FALSE,NA,"939250881329029120",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Gqdragon78Lee",0,FALSE,FALSE,NA,NA
"20","Grow Up Already and Throw a #Dinner Party 
#party #cocktails
https://t.co/jeeCKOiwYK https://t.co/gaZd5dnZIi",FALSE,0,NA,2017-12-08 20:55:16,FALSE,NA,"939236960484429824",NA,"<a href=""http://app.sendblur.com"" rel=""nofollow"">Social Media Publisher App </a>","ComIceMakers",0,FALSE,FALSE,NA,NA
"21","Which is your favorite #meal of the day? #BREAKFAST, #LUNCH or #DINNER? Tell me in the #comments… https://t.co/AddpDWNTEp",FALSE,1,NA,2017-12-08 19:45:37,TRUE,NA,"939219434140524546",NA,"<a href=""http://sociviral.com"" rel=""nofollow"">Sociviral Application</a>","your_smmpro",0,FALSE,FALSE,NA,NA
"22","#DateNight in the city begins with a spectacular pre-theater dining experience, followed by a @MetOpera performance… https://t.co/I6Cl51J2UH",FALSE,2,NA,2017-12-08 18:55:06,TRUE,NA,"939206719548338177",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","GrandTierNY",0,FALSE,FALSE,NA,NA
"23","Linin' up for lunch! 
#oysters #foodporn #oysterporn #yum #eatraw #eatoysterslovelonger #lunch #dinner #brunch… https://t.co/hDov0mL5NJ",FALSE,0,NA,2017-12-08 17:38:02,TRUE,NA,"939187327708094464",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AquagrillNYC",1,FALSE,FALSE,NA,NA
"24","Bake this salmon for a fast and flavorful weekday meal https://t.co/F2Evn1pE0S #recipe #dinner #healthyeats… https://t.co/TpJIvW2hpb",FALSE,0,NA,2017-12-08 17:07:00,FALSE,NA,"939179515875651585",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","NourishedBite",0,FALSE,FALSE,NA,NA
"25","Whether you are throwing an elegant #dinner #party or simply feeding the #family, these #healthy #Christmas… https://t.co/U7H0QRoZTY",FALSE,1,NA,2017-12-08 13:53:48,TRUE,NA,"939130896229240832",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TrendyLikeMe",0,FALSE,FALSE,NA,NA
"26","#Christmas-Dinners #Dinner-Recipes #Fall-Recipes #Food-Styling #recipes https://t.co/YqpQFoaHti Maple Harissa Sweet Potato #Gratin with ...",FALSE,1,NA,2017-12-08 13:53:32,FALSE,NA,"939130828227076097",NA,"<a href=""http://www.redsom.com/"" rel=""nofollow"">Redsom</a>","redsomcom",0,FALSE,FALSE,NA,NA
"27","Date night with myself.  I'm not ashamed. <ed><U+00A0><U+00BD><ed><U+00B1><U+008D>  #Korean #kimchi #delicious #dinner #dumplings #food… https://t.co/INFQetdQko",FALSE,0,NA,2017-12-08 07:01:04,FALSE,NA,"939027029827117058",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Lisa03755",0,FALSE,FALSE,NA,NA
